X_param,Y
"(6, 24)","[0.00012328, 0.01109714]"
"(6, 25)","[0.00012328, 0.01109714]"
"(6, 26)","[0.00012328, 0.00583474]"
"(6, 27)","[0.00012328, 0.00583474]"
"(6, 28)","[0.00012328, 0.00583474]"
"(6, 29)","[0.00012328, 0.00306784]"
"(6, 30)","[0.00012328, 0.00583474]"
"(6, 31)","[0.00012328, 0.00583474]"
"(6, 32)","[0.00012328, 0.01109714]"
"(6, 33)","[0.00012328, 0.00583474]"
"(6, 34)","[0.00012328, 0.00583474]"
"(6, 35)","[0.00012328, 0.00084811]"
"(6, 36)","[0.00012328, 0.00023446]"
"(6, 37)","[0.00012328, 0.00306784]"
"(6, 38)","[0.00012328, 0.00583474]"
"(6, 39)","[0.00012328, 0.00583474]"
"(6, 40)","[0.00012328, 0.00306784]"
"(6, 41)","[0.00012328, 0.00583474]"
"(6, 42)","[0.00012328, 0.00583474]"
"(6, 43)","[0.00023446, 0.01109714]"
"(6, 44)","[0.00012328, 0.00583474]"
"(7, 0)","[0.00084811, 0.02110573]"
"(7, 1)","[0.00161303, 0.02110573]"
"(7, 2)","[0.00012328, 0.02110573]"
"(7, 3)","[0.00023446, 0.02110573]"
"(7, 4)","[0.00161303, 0.02110573]"
"(7, 5)","[0.00044593, 0.02110573]"
"(7, 6)","[0.00161303, 0.02110573]"
"(7, 7)","[0.00012328, 0.02110573]"
"(7, 8)","[0.00161303, 0.02110573]"
"(7, 9)","[0.00044593, 0.02110573]"
"(7, 10)","[0.00012328, 0.02110573]"
"(7, 11)","[0.00084811, 0.02110573]"
"(7, 12)","[0.00012328, 0.02110573]"
"(7, 13)","[0.00012328, 0.02110573]"
"(7, 14)","[0.01109714, 0.99893269]"
"(7, 15)","[0.00012328, 0.02110573]"
"(7, 16)","[0.00044593, 0.02110573]"
"(7, 17)","[0.00012328, 0.02110573]"
"(7, 18)","[0.00023446, 0.02110573]"
"(7, 19)","[0.00023446, 0.02110573]"
"(7, 20)","[0.00306784, 0.02110573]"
"(7, 21)","[0.00084811, 0.02110573]"
"(7, 22)","[0.00161303, 0.02110573]"
"(7, 23)","[0.00012328, 0.02110573]"
"(7, 24)","[0.00012328, 0.02110573]"
